"Aussage 1:";"Ich möchte vor dem Festival helfen und dann einfach die Festivaltage genießen."
"Aussage 2:";"Es ist nicht schlimm, wenn ich mal einen Act verpasse."
"Aussage 3:";"Das Festival ist mein Ersatz für die Muckiebude."
"Aussage 4:";"Auch wenn’s menschlich mal nicht so einfach ist, bleibe ich cool."
"Aussage 5:";"Kopfrechnen ist für mich kein Problem, selbst wenn’s mal stressig ist."
"Aussage 6:";"Wo andere den Überblick verlieren, bin ich mit Infos zur Stelle."
"Aussage 7:";"Ich kümmere mich am liebsten um die Versorgung und Probleme Anderer."
"Aussage 8:";"Auf dem kompletten Gelände unterwegs sein und Strecke machen? Bin dabei!"
"Aussage 9:";"Ich bin lieber an einem festen Ort."
"Aussage 10:";"Ich hab Bock kreativ zu arbeiten."
"Aussage 11:";"Ich habe ein Händchen für Basteln und Malen."
"Aussage 12:";"Ich bin Bob der Baumeister bereits seit dem Kindergarten."
"Aussage 13:";"Ich wollte schon immer einmal auf einer Bühne hinter die Kulissen schauen."
"Aussage 14:";"Ich bin die erste Anlaufsstelle bei meinen Freund*innen wenn sie Hilfe beim Klamottenkauf benötigen."
"Aussage 15:";"Mein geheimes Talent: ALLES an den Mann/an die Frau oder sonst jeden bringen."
"Aussage 16:";"Ich will dabei helfen, dass auch Mamis und Papis ein entspanntes Festival haben."
"Aussage 17:";"Ich wollte schon immer mal Artists persönlich kennenlernen."
"Aussage 18:";"Ich bin der/die geborene Gastgeber*in."
"Aussage 19:";"Ich möchte dafür sorgen, dass sich alle aus der Festivalcrew wohl fühlen."
"Aussage 20:";"Ich möchte mich mit Holz, Stoff, Farbe, etc. austoben!"
"Aussage 21:";"Ich habe einen Blick für besondere Momente."
"Aussage 22:";"Social Media ist mein zweites Zuhause."
"Aussage 23:";"Ich kann mehr hochheben als nur mein Bier."
"Aussage 24:";"Ich habe kein Problem damit anderen hinterher zu räumen."
"Aussage 25:";"Ich komme gerne in Kontakt mit neuen Leuten."
"Aussage 26:";"Ich liebe es am Steuer zu sitzen und behalte einen kühlen Kopf im Verkehr."
"Aussage 27:";"O’zapft is!‘ ist mein Lebensmotto?"
"Aussage 28:";"Mit meiner offenen und sympathischen Art habe ich bislang jede*n begeistert."
"Aussage 29:";"Beim Umzug meiner Freund*innen bin ich die/der Erste, der/die auf der Matte steht."
"Aussage 30:";"Festivalbändchen sammeln ist mein liebstes Hobby und im Bändchen anlegen bin ich ein*e wahre*r Gott/Göttin."
